Name,long,lat,capacity,Type,filling,arrivals,bin_ID
Ndirande ground,35.050629288236699,-15.775147819237599,"7000",skip,,"10","1"
Chimwankhunda mosque,35.014843300000003,-15.827052300000000,"7000",skip,,"2","2"
Naizi market,35.088191600000002,-15.849615900000000,"7000",skip,1.000,"3","3"
Machinjiri market,35.081051900669301,-15.744664723304901,"7000",skip,,,"4"
South Lunzu market,35.056110506117001,-15.730885215898500,"7000",skip,,"9","5"
Khama market,35.074553521787500,-15.767706356135900,"7000",skip,,"51","6"
Nkolokoti market,35.076323799999997,-15.790471900000000,"7000",skip,,"5","7"
Kachere market,35.084111499999999,-15.807921300000000,"7000",skip,,"73","8"
Kachere market,35.105332599999997,-15.793434299999999,"7000",skip,,"73","9"
Naizi market,35.082307399999998,-15.849474900000001,"7000",skip,1.000,"3","10"
Bangwe market,35.084882999999998,-15.828268300000000,"7000",skip,1.000,"30","11"
Bangwe market,35.088650999999999,-15.832294200000000,"7000",skip,1.000,"30","12"
Bangwe market,35.092860600000002,-15.831893500000000,"7000",skip,1.000,"30","13"
Bangwe ground,35.090235499999999,-15.816294100000000,"7000",skip,1.000,"13","14"
Bangwe ground,35.097234299999997,-15.809099700000001,"7000",skip,1.000,"13","15"
Limbe flea market,35.064146399999998,-15.812918300000000,"7000",skip,,"58","16"
Limbe market,35.054739699999999,-15.820991100000001,"7000",skip,,"84","17"
Limbe Hard Ware,35.049830000000000,-15.814002700000000,"7000",skip,,"117","18"
Limbe market,35.058945899999998,-15.812279500000001,"7000",skip,,"84","19"
Pafumbi bus terminal,35.056525399999998,-15.829165700000001,"7000",skip,,"28","20"
Likotima,35.056732895464201,-15.853939420484799,"7000",skip,,,"21"
I.T.G,35.060600899999997,-15.820474700000000,"7000",skip,,,"22"
Chigumula,35.051785700000003,-15.886139699999999,"7000",skip,1.000,,"23"
Chigumula,35.044387499999999,-15.887433200000000,"7000",skip,1.000,,"24"
BCA market,35.063020500000000,-15.844182300000000,"7000",skip,1.000,"3","25"
BCA market,35.069350100000001,-15.844431300000000,"7000",skip,1.000,"3","26"
BCA market,35.064882500000003,-15.848696400000000,"7000",skip,1.000,"3","27"
Chigumula,35.050655900000002,-15.892936100000000,"7000",skip,1.000,,"28"
Ndirande ground,35.047725715194602,-15.776765800689899,"7000",skip,,"10","29"
Ndirande market,35.036799031737402,-15.776833921714900,"7000",skip,,"40","30"
Kameza round a bout,35.017316800000003,-15.730363000000001,"7000",skip,,"25","31"
Chirimba market,35.019198287737503,-15.744681227153199,"7000",skip,,"123","32"
Chirimba market,35.022026300000000,-15.744324199999999,"7000",skip,,"123","33"
Chiweto,35.010177017063398,-15.746731102769299,"7000",skip,,"5","34"
Chemusa market,34.999359508364698,-15.766005894942600,"7000",skip,,"59","35"
Kayange,35.002675640453198,-15.775749523888701,"7000",skip,,"14","36"
Mbayani market,35.008046518043699,-15.775960258767499,"7000",skip,,"17","37"
Mbwerela,34.994528122911497,-15.770725548667000,"7000",skip,,"15","38"
Chilomoni market,34.981716010950599,-15.773443927770501,"7000",skip,,"15","39"
Fargo,34.983139199999997,-15.775903500000000,"7000",skip,,"10","40"
Nthukwa market,34.979985359887600,-15.763809966055900,"7000",skip,,"8","41"
Blantyre flea market,35.006406154460898,-15.788635987995900,"7000",skip,,"205","42"
Mibawa Bus terminals,35.008977500000000,-15.788558900000000,"7000",skip,,"17","43"
Blantyre market,35.008792700000001,-15.794490600000000,"7000",skip,,"105","44"
Malekano,34.991879048965501,-15.810266465184100,"7000",skip,,"1","45"
Manase Market,34.993304526006803,-15.812018260681400,"7000",skip,,"9","46"
Chilobwe,35.005719672087899,-15.832450580652800,"7000",skip,,"12","47"
Thawale market,35.011705800000001,-15.819652300000000,"7000",skip,,"20","48"
Zingwangwa water board,35.017745599999998,-15.816472500000000,"7000",skip,,"7","49"
Zingwangwa mosque,35.008294999999997,-15.815409400000000,"7000",skip,,"6","50"
Soche market,35.015308328047801,-15.809398176274900,"7000",skip,,"7","51"
Wenela Bus terminal,35.015760197301198,-15.785683424013900,"7000",skip,,"8","52"
Queens Guardian shelter,35.019052113496599,-15.802852583209001,"7000",skip,,"18","53"
Mzedi dump,35.098548679140471,-15.781438455584814,,dump,,,"54"
Limbe Composting,35.054963999999998,-15.846329000000001,,compost,,,"55"
Storage city center,35.021909000000001,-15.797283999999999,,storage,,,"56"
