,Q1
Blantyre flea market,1.0
Queens Guardian shelter,2.5
Limbe flea market,2.0
Milowa,1.0
Limbe market,1.0
Kachere market,2.0
Pafumbi bus terminal,6.5
Chirimba market,1.0
Blantyre market,1.0
Chemusa market,2.0
Mbayani market,5.0
Bangwe ground,11.0
Khama market,3.0
Nanjiriri market,16.0
Mbwerela,8.5
Kayange,8.5
Limbe Hard Ware,1.0
Mibawa Bus terminals,7.0
Bangwe market,3.0
Chilomoni market,5.0
Thawale market,3.75
Ndirande market,2.0
Chilobwe,6.0
Kameza round a bout,5.0
Ndirande ground,10.75
Malekano,105.0
South Lunzu market,5.0
Nkolokoti market,62.0
Zingwangwa mosque,38.25
Zingwangwa water board,11.5
Soche market,13.5
Chiweto,20.0
Naizi market,94.0
BCA market,44.0
Wenela Bus terminal,23.25
Nancholi Police,24.0
Chimwankhunda mosque,86.5
Manase Market,19.0
Nthukwa market,15.75
Fargo,6.25
